aspect,listing_id,score,text
清潔,1156312113078106422,-9.0,房間空間算大，不過房間跟浴室的照片跟實際空間有點落差，熱水器忽冷忽熱，且入住時打掃不到位，地上有殘留灰塵毛髮等髒東西，不過房東還算積極也願意處理，提前退住，希望將一些基本面東西處理好，會是不錯的房源
清潔,1357140500481878648,-9.0,體驗非常差，根本不適合入住訂了兩晚，第一天晚上12點回到民宿發現冷氣竟然是壞，而且非常骯髒佈滿灰塵洗手間亦是很骯髒，抽氣扇上有黴菌最離譜是打開衣櫃竟然是用過的毛巾和被鋪不難令我聯想床單被鋪是有換嗎？而且有一張床單亦有污跡，聯絡了房東沒有直接回應衛生程度問題一直說我們太遲反映我們只來三天還要花時間處理住宿問題我們馬上訂了
清潔,39623805,-7.0,好的部分有位置離台電大樓捷運站很近、浴室提供好的沐浴乳跟洗髮精、提供洗衣機跟洗衣精。不好的地方：一、位置不好找：入住前沒有教大家走去的地圖，只給地址，那附近很多小巷子，很容易迷路。二、整間屋子有怪味：住宿地方是老房子，房東沒有定期清掃環境，整間屋子都有一股臭味，混雜濕氣跟腐壞味，浴室也是很久沒打掃了，地板都是衛生紙碎屑
清潔,996140822575146404,-6.0,"Everything was ok except the place was not clean. Very dusty, dirty and sheets smelled bad."
清潔,29641333,-5.0,超級物超所值的選擇，位處地鐵站附近出行非常方便，早出晚歸都能輕鬆找到活動和用餐地點。住所環境衛生滿意，設備都有消毒過，生活用品如同簡介一樣齊全。家具可能用久了能看出有點痕跡，但摸上去沒有骯髒的感覺，可能有人介意美觀但清潔程度幾乎沒問題。馬桶沖水比較慢，多按壓幾下等水回上來就好了。房東態度也很好，熱心解答各種問題，能彈性
清潔,42300382,-5.0,"The room was very small and poor value for money. It did not match the listing photos, the toilet was dirty upon arrival, and there was severe construction nois"
清潔,1222443815847606279,-5.0,"One of the worst places I have ever stayed at. Everything is either dirty, broken or old. Everything in the bathroom is rusty and dirty. The sofa is completely "
清潔,8323680,-4.0,This is a terrible deal. The place looks nothing like the picture and is quite dirty.Here’s a full list of what is wrong with that place:- dusty- 0 natural ligh
清潔,15141830,-4.0,Pros:- Studio place with a lot of amenities such as a Beamer- Owner quick to respond and resolve issues- Decent price for what you get in Taipei- Basement has a
清潔,30960936,-4.0,雜物很多，進門都有困難，一開門還會撞到牆上鐵鍋掉下來，很多物品完全沒有往租客使用的價值，連行李箱也無法打開放下。房東一直說是個人收藏物品，但是完全沒有考慮到租客正常需要使用的空間範圍，感覺空間是房東的儲藏室雜物間，每個地方角落堆滿了雜物，很多灰塵，感覺很不舒服，並且房間內人像圖片很多，感覺復古過往人的信息能量殘留在空間
清潔,46927129,-4.0,1，來到住宿便聽到樓上施工的聲音(但屋主並沒有告知）2，第二天早上9點就被強烈的施工聲音吵醒 完全無法忍受有錄音檔證明(屋主卻說慌不是他的住處有施工 是別的地方，但經過查探其實是樓上在施工)3，因為實在無法忍受，提出了兩個方案 第一是退款 第二是叫施工的人11點才工作 最後屋主提供別的住處給我們 給我們看看住宿的照片 
清潔,599566144826569048,-4.0,看起來很復古，但實在太髒！浴巾臭味床單也很髒整體根本是廢墟😀
清潔,738322392665808067,-4.0,房東人不錯 👍🏻問的問題都會耐心回覆另外若有停車問題 建議提前跟房東詢問CP值高的停車場，因為附近不好停車。房間的裝潢與照片一致 ～但清潔的問題有發現幾點：馬桶髒污未清、冰箱還保留上個客人留的食物，因此躺在床上會擔憂清潔度的問題。
清潔,959142524465128196,-4.0,旅館在巷子裏面 超級多蚊睡覺的時候，被很多蚊子叮房間有異味 床褥不太乾淨 起床後全身都有紅點，洗澡的時候 冷熱水很極端 差點被灼傷嬰兒床超級髒 不敢使用 廁所電掣沒有保護，還將電風扇放在地下差點被電死！整間房子都很潮濕 感覺不好
清潔,1031775889614993351,-4.0,"The stay was a disaster to me. The worst I’ve ever experienced in Airbnb. The photos provided are edited to hide all the stains, dirt and roughness. The truth i"
清潔,1107614429945708735,-4.0,非常恐怖的環境 異味難頂 多留一分鐘有作嘔的感覺 形容這間是有毒 未開門門口地下已有蟑螂屍體 在第一間房裏面的床單已有血跡及污垢 再走進一點去到洗手間 衛生情況極之惡劣地下有頭髮 廁所板有污漬及血跡 花灑頭是壞的 洗手間有一股非常令人作嘔的異味感覺整個洗手間都非常臭不衛生 旁邊廚房更有非常凌亂的清潔雜物感覺整個地方都很
清潔,1404722155804161195,-4.0,"Dusty, dirty and noticeable smell.I think none clean up the flat before check in. Have some food scraps on the top of cabinet.The bathroom always has a noticeab"
清潔,2263430,-3.0,*Worst Airbnb experience ever!!!* 這間Airbnb 質素真的令人非常非常非常失望！ 這次台北旅程，我們是三個媽媽和五個小孩，因為帶小孩來參加夏令營。所以這次居住在內湖的房子共15天，但我們對於這次預訂的房子有很多不滿意的地方。敬請你們能夠嚴格地檢驗這個房子的描述。 首先，這個房子描述有
清潔,2637590,-3.0,"Upon check in, there was an overpowering concentrated stench of chlorine which did not go away even after we returned from our night market. There is very poor "
清潔,7319733,-3.0,"地點十分方便，下樓就是捷運，到那裡都方便而且房東很好唯房子頗舊，大門怕它差點倒下浴室破舊，有灰塵及發霉地方臥室冷氣很髒, 導致房間空氣不好，鼻子一直過敏，令睡眠也不好要留意，這房間沒有冰箱的"
清潔,10448762,-3.0,The host was not very welcoming and impatient when we told her that we couldn't find the meeting place. We told her we were at the entrance of the building but 
清潔,11140660,-3.0,We didn't get the original apartment that we would like to stay.  Owner communicated to us that due to construction in the original property he suggested we mov
清潔,16297721,-3.0,"READ THIS!!!The room was totally not what it was described. It was so dirty, smelly and noisy. When I opened the door, the smell of mold run to me immediately. "
清潔,23319845,-3.0,"Location is great for walking to restaurants and shops.  The room is clean but the way to get there isn’t.  Elevator is located in a very smelly, (probably) tra"
位置交通,17583027,-6.0,有什麼問題問房東都很迅速的回覆，房間該有的設備都有覺得方便，地點離捷運站很近，吃東西也方便，不過在鬧區隔音差了些，但不怕吵所以覺得ok 若下次有機會再來台北玩會再考慮來這裡住~
位置交通,1701140,-4.0,枕頭和床單上有頭髮，角落處有滿多灰塵，隔音很差，隔壁房客在吵架，半夜被吵醒兩三次...唯一的優點是地點很方便，價錢不貴，如果只是想找個地方睡一晚，還可以接受
位置交通,16235414,-4.0,"房東溝通良好,住過很多次了都沒失望,這間地理位置很便利,也不用爬樓梯 就在忠孝復興捷運站旁邊,根本不用擔心交通問題或位置難找 而且樓下就有超商過一條馬路就是SOGO百貨公司,房東跟我們說過去大安路一段商圈那邊非常多的小吃美食餐廳,也有美妝衣服可以逛逛而且都有附碗盤鍋子餐具可以買東西回來吃,房源一塵不染 很乾淨也舒適 床"
位置交通,17928951,-4.0,跟想像中的差不多，房東回應迅速，地點離捷運及夜市很近，缺點是晚上有夜市的話比較吵雜一點，但窗戶關起來就會好很多。還有早上會有鴿子在窗戶上咕咕叫，見人見智囉：）
位置交通,30386138,-4.0,位置方便，房東回覆快，但沒餐具提供，雪櫃也沒有冰格，冷氣有點髒，坐的位置也不太夠
位置交通,1075838599755092866,-4.0,地點很方便，鄰近西門商圈卻不吵雜（唯獨有冷氣主機的噪音，關窗後不太明顯）。房東回覆快速，也很親切給予多要的備品。房間乾淨整潔明亮，備有付費洗衣機及烘衣機，價格也不高，整體而言非常划算。下次有來，還是會選擇這裡，讚
位置交通,1143538285603256264,-4.0,價格便宜，4人入住的話很划算。但房間隔音差，隔壁房間說話大聲一點或放音樂都會聽到，地理位置位於信義區，但不靠近捷運站。第一天的熱水爐沒有熱水，入住期間是冬天，很冷，但第二天就恢復正常。推薦4人旅行入住。
位置交通,1222442070522214406,-4.0,地點在西門町 交通便利。冷氣充足，水壓一般，房間隔音比較差但屋主有預備耳塞很貼心。全自助入住，房間比想像中細小，雖小但五臟俱全。
位置交通,1561829977066105785,-4.0,整體不錯，很乾淨，房東人很好，回覆很快，解釋很詳細，而且有問必答。就冷氣有一點點噪音，但能接受，位置感覺沒有很方便，離捷運站有一點遠個人覺得，採光比我想像中差，天氣好也是暗暗的
位置交通,1911361,-3.0,"Host was very nice, friendly and helpful, offering travel tips for Taipei. Even offered to buy us coffee, because we didn't inform arrival on the day and had to"
位置交通,8880657,-3.0,All was great!Host having know our early flight and made arrangements for us. I've to say that instructions were really clear. walkable from mrt with small shop
位置交通,9852663,-3.0,"Host was exceptionally friendly and gave us a warm welcome, never failing to answer any of our queries. He even suggested places and eateries to visit, giving u"
位置交通,15305332,-3.0,1.房源位置交通相當方便2.浴室門開關時候有噪音有點吵3.小冰箱壓縮機聲音超大聲半夜一直被嚇醒4.枕頭扎實稍微
位置交通,17032186,-3.0,位置近捷運，可能近年尾，價格都算貴。房間不算大。店家回覆都快，離開後有提供寄放行李，最大問題是其中梳發床位置不乾淨，有蟲咬。手及頸長很多紅點粒粒很痕。小孩都有長紅點。
位置交通,30942845,-3.0,房東回覆十分瞬速，地點十分容易到達，距離捷運只是大約5~8分鐘的路程。其中一天的冷氣機出了點問題，房東馬上到達住宿處理，十分有效率!
